platform,horizon_label,horizon_hours,freshness_filter,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
kalshi,30d,720.0,all,0,2.5,0-5,3341,34,0.010176593834181383,0.017671355881472613,-0.00749476204729123,0.007291626592547085,0.014186699914752991
kalshi,30d,720.0,all,5,7.5,5-10,1116,44,0.03942652329749104,0.06668458781362008,-0.02725806451612904,0.02949930068678783,0.05251372686996662
kalshi,30d,720.0,all,10,12.5,10-15,692,70,0.10115606936416185,0.11721098265895953,-0.016054913294797676,0.08084536948119185,0.12587064174895024
kalshi,30d,720.0,all,15,17.5,15-20,493,71,0.1440162271805274,0.1681135902636917,-0.02409736308316429,0.11577277527116282,0.1777646418855326
kalshi,30d,720.0,all,20,22.5,20-25,414,95,0.22946859903381642,0.21838164251207728,0.011086956521739133,0.19156044825042076,0.2723512350286017
kalshi,30d,720.0,all,25,27.5,25-30,333,75,0.22522522522522523,0.2681681681681682,-0.04294294294294296,0.18363829246131846,0.27307964261558415
kalshi,30d,720.0,all,30,32.5,30-35,271,89,0.3284132841328413,0.3176752767527675,0.0107380073800738,0.2752364392135897,0.3863868376120438
kalshi,30d,720.0,all,35,37.5,35-40,251,85,0.3386454183266932,0.36697211155378484,-0.028326693227091637,0.2829222398191948,0.39923326383483976
kalshi,30d,720.0,all,40,42.5,40-45,239,94,0.39330543933054396,0.41995815899581584,-0.026652719665271885,0.333531040943267,0.456455518196518
kalshi,30d,720.0,all,45,47.5,45-50,223,90,0.40358744394618834,0.47049327354260095,-0.06690582959641261,0.34135285623361467,0.46908755681231695
kalshi,30d,720.0,all,50,52.5,50-55,231,114,0.4935064935064935,0.5191341991341991,-0.02562770562770561,0.42966831373069053,0.5575571182200372
kalshi,30d,720.0,all,55,57.5,55-60,213,122,0.5727699530516432,0.5688262910798122,0.003943661971831047,0.5056257099363471,0.6373357882263672
kalshi,30d,720.0,all,60,62.5,60-65,236,148,0.6271186440677966,0.6193220338983051,0.0077966101694915135,0.5638483301919794,0.686316778779942
kalshi,30d,720.0,all,65,67.5,65-70,260,174,0.6692307692307692,0.6716153846153845,-0.0023846153846153184,0.609941182106003,0.7235922712993734
kalshi,30d,720.0,all,70,72.5,70-75,241,167,0.6929460580912863,0.7184232365145228,-0.02547717842323649,0.6320603851435386,0.7477770281064974
kalshi,30d,720.0,all,75,77.5,75-80,291,227,0.7800687285223368,0.7705841924398625,0.009484536082474238,0.7289996323729154,0.8238395870588066
kalshi,30d,720.0,all,80,82.5,80-85,311,261,0.8392282958199357,0.8205144694533761,0.018713826366559605,0.7943038990990664,0.8758743746741581
kalshi,30d,720.0,all,85,87.5,85-90,404,358,0.8861386138613861,0.8696782178217822,0.01646039603960392,0.8514593377921831,0.9135435456802239
kalshi,30d,720.0,all,90,92.5,90-95,473,463,0.9788583509513742,0.9213107822410148,0.057547568710359376,0.9615243596186335,0.9884766470049496
kalshi,30d,720.0,all,95,97.5,95-100,1056,1024,0.9696969696969697,0.9752367424242425,-0.005539772727272796,0.9575345753609058,0.9784543497765864
kalshi,30d,720.0,<=1h,0,2.5,0-5,94,1,0.010638297872340425,0.024255319148936173,-0.013617021276595748,0.001880347339052478,0.057824318161102874
kalshi,30d,720.0,<=1h,5,7.5,5-10,51,3,0.058823529411764705,0.06627450980392158,-0.007450980392156872,0.020206272864052077,0.15924873938941972
kalshi,30d,720.0,<=1h,10,12.5,10-15,57,3,0.05263157894736842,0.11526315789473685,-0.06263157894736843,0.01805996809628102,0.14369777660471303
kalshi,30d,720.0,<=1h,15,17.5,15-20,45,7,0.15555555555555556,0.16755555555555557,-0.01200000000000001,0.07745325311328677,0.28784190511248803
kalshi,30d,720.0,<=1h,20,22.5,20-25,40,10,0.25,0.22075,0.029249999999999998,0.14186967895549518,0.40194259066970106
kalshi,30d,720.0,<=1h,25,27.5,25-30,42,10,0.23809523809523808,0.26452380952380955,-0.026428571428571468,0.13480820811018188,0.38527835082318873
kalshi,30d,720.0,<=1h,30,32.5,30-35,35,13,0.37142857142857144,0.3191428571428572,0.05228571428571427,0.23165607368891059,0.5366335951197893
