category_group,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap
Sports,301455,20,0.022415650760478356,-0.020980610704748628,-0.013747319200593487,0.005751507457949941
Crypto,116214,20,0.04827679969711053,-0.026930490302373194,-0.03412869043765652,0.020794846005382384
Finance,63229,20,0.03870138702177797,-0.011301301617928488,-0.026028625353884872,0.02236624551552018
Weather,30560,20,0.01540804973821991,-0.008508180628272237,-0.013598818758815233,0.008730319959370327
Entertainment,10696,20,0.018990276738967804,-0.015061705310396446,-0.017422695887120986,0.005984671776074524
Other,9208,20,0.02325260642919203,-0.017073197219808833,-0.019821806633733237,0.008721479150275465
Esports,7943,20,0.05169835074908725,-0.050582903185194504,-0.02966624571531661,0.014890510948905039
Media,7029,20,0.02761986057760708,-0.021613316261203563,-0.023058739255014327,0.008051401869158948
Politics,7024,20,0.018327164009111586,-0.007384681093394106,-0.014560466245750364,0.01280294659300177
Science/Tech,426,20,0.03807511737089202,-0.012582159624413143,-0.011324786324786323,0.0156923076923077
World Events,236,14,0.035635593220339004,0.003262711864406798,-0.014675324675324675,0.02915492957746485
