category_group,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
Crypto,0,2.5,0-5,37451,163,0.004352353742223172,0.018530613334757414,-0.014178259592534243,0.0037345756255002735,0.005071805229678672
Crypto,5,7.5,5-10,14211,132,0.009288579269579903,0.06579199211878123,-0.05650341284920132,0.007838623322447176,0.011003767436237044
Crypto,10,12.5,10-15,7037,152,0.021600113684808867,0.11672019326417507,-0.0951200795793662,0.018455413795352052,0.025266859405624377
Crypto,15,17.5,15-20,4037,114,0.028238791181570473,0.16824622244240772,-0.14000743126083726,0.023559966036400783,0.03381461652580605
Crypto,20,22.5,20-25,2891,156,0.05396056727775856,0.21634382566585955,-0.162383258388101,0.04630053172963842,0.06280443622439402
Crypto,25,27.5,25-30,2151,143,0.06648070664807067,0.2689679218967922,-0.20248721524872154,0.056706620923319614,0.07780052800122313
Crypto,30,32.5,30-35,1509,174,0.11530815109343936,0.3163817097415507,-0.20107355864811136,0.1001606004354739,0.13240941879191911
Crypto,35,37.5,35-40,1077,187,0.17363045496750232,0.36943361188486534,-0.19580315691736302,0.1521780234563244,0.19740289570888905
Crypto,40,42.5,40-45,970,236,0.24329896907216494,0.4166701030927835,-0.17337113402061857,0.21734348574933007,0.2712797153954967
Crypto,45,47.5,45-50,785,237,0.3019108280254777,0.4712484076433121,-0.1693375796178344,0.27082368292774683,0.33492733223169713
Crypto,50,52.5,50-55,902,418,0.4634146341463415,0.5154988913525499,-0.052084257206208406,0.431095535793226,0.496044043576942
Crypto,55,57.5,55-60,758,399,0.5263852242744064,0.5714511873350924,-0.045065963060686,0.490796052610812,0.5617083000000196
Crypto,60,62.5,60-65,788,499,0.633248730964467,0.6171573604060914,0.016091370558375617,0.5990292575413334,0.6661752985213942
Crypto,65,67.5,65-70,863,632,0.7323290845886443,0.6709849362688297,0.061344148319814606,0.70180743070752,0.7607915031692113
Crypto,70,72.5,70-75,1073,887,0.8266542404473439,0.7177539608574091,0.10890027958993487,0.8028489962429606,0.8481288263077285
Crypto,75,77.5,75-80,1280,1109,0.86640625,0.770390625,0.09601562500000005,0.8466672604391855,0.8839524671035269
Crypto,80,82.5,80-85,1644,1517,0.9227493917274939,0.8193309002433089,0.10341849148418503,0.9088350850037605,0.9346925938702284
Crypto,85,87.5,85-90,2554,2410,0.9436178543461238,0.8710415035238842,0.07257635082223957,0.9339878097056252,0.9519153674105808
Crypto,90,92.5,90-95,5584,5395,0.9661532951289399,0.9228402578796562,0.0433130372492837,0.9610805055777148,0.9705851307567154
Crypto,95,97.5,95-100,28649,28397,0.9912038814618311,0.9794142902021012,0.011789591259729892,0.9900548367712851,0.9922212108511608
Entertainment,0,2.5,0-5,5485,18,0.0032816773017319964,0.014658158614402917,-0.011376481312670921,0.0020768627593812667,0.005181790869828947
Entertainment,5,7.5,5-10,829,23,0.027744270205066344,0.06523522316043426,-0.03749095295536792,0.018557361833780914,0.041287871641588224
Entertainment,10,12.5,10-15,348,18,0.05172413793103448,0.11663793103448276,-0.06491379310344828,0.032964959030110944,0.08027236140044644
Entertainment,15,17.5,15-20,164,16,0.0975609756097561,0.16579268292682925,-0.06823170731707315,0.06094644196394342,0.15259775685208313
Entertainment,20,22.5,20-25,136,21,0.15441176470588236,0.21845588235294117,-0.06404411764705881,0.10326721361886773,0.22454368099332203
Entertainment,25,27.5,25-30,101,21,0.2079207920792079,0.2637623762376238,-0.05584158415841586,0.14020699355070065,0.29703929036713345
Entertainment,30,32.5,30-35,72,25,0.3472222222222222,0.31708333333333333,0.03013888888888888,0.2475326163175922,0.4623891152914456
Entertainment,35,37.5,35-40,72,16,0.2222222222222222,0.3655555555555556,-0.14333333333333337,0.1416732392052012,0.3309117273566856
Entertainment,40,42.5,40-45,50,7,0.14,0.415,-0.27499999999999997,0.06950745262022862,0.2618645719852809
Entertainment,45,47.5,45-50,32,14,0.4375,0.47375,-0.036250000000000004,0.2816508596944317,0.6067469796877387
Entertainment,50,52.5,50-55,48,21,0.4375,0.5141666666666667,-0.07666666666666666,0.3070105464041092,0.5772522849899835
Entertainment,55,57.5,55-60,32,19,0.59375,0.5728125,0.020937500000000053,0.4225972657298823,0.744805975196862
Entertainment,60,62.5,60-65,64,35,0.546875,0.6203125,-0.07343750000000004,0.42573382520679776,0.6627074851396563
Entertainment,65,67.5,65-70,51,28,0.5490196078431373,0.6688235294117646,-0.11980392156862729,0.41384471541649237,0.6773269498886776
Entertainment,70,72.5,70-75,49,35,0.7142857142857143,0.7171428571428571,-0.0028571428571427804,0.5759085079389967,0.8215056506027583
Entertainment,75,77.5,75-80,66,50,0.7575757575757576,0.7672727272727273,-0.00969696969696976,0.6419064250894373,0.8449094554173093
Entertainment,80,82.5,80-85,96,79,0.8229166666666666,0.8207291666666667,0.002187499999999898,0.7345877787621297,0.8863958593205933
Entertainment,85,87.5,85-90,123,110,0.8943089430894309,0.8715447154471545,0.02276422764227637,0.827545863784844,0.9371874729122648
Entertainment,90,92.5,90-95,272,252,0.9264705882352942,0.9226470588235294,0.003823529411764781,0.8891622426920306,0.9519001641385564
Entertainment,95,97.5,95-100,2606,2578,0.9892555640828856,0.9838372985418267,0.005418265541058953,0.9845149278044887,0.9925558645378512
Esports,0,2.5,0-5,3175,15,0.004724409448818898,0.016406299212598424,-0.011681889763779527,0.0028651666948128463,0.007780723934025029
Esports,5,7.5,5-10,1615,34,0.021052631578947368,0.06853250773993808,-0.04747987616099071,0.015104069856168124,0.02927433010587881
Esports,10,12.5,10-15,753,40,0.05312084993359894,0.1204116865869854,-0.06729083665338645,0.039250531527026615,0.0715277343611064
