category_group,horizon_label,horizon_hours,freshness_filter,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,empirical_win_rate_ci_low,empirical_win_rate_ci_high
Sports,30d,720.0,all,0,2.5,0-5,435,2,0.004597701149425287,0.017057471264367817,-0.01245977011494253,0.0012617359015576705,0.01660712612063895
Sports,30d,720.0,all,5,7.5,5-10,142,4,0.028169014084507043,0.06577464788732394,-0.037605633802816896,0.011007563725265082,0.07018737653869253
Sports,30d,720.0,all,10,12.5,10-15,79,7,0.08860759493670886,0.11607594936708861,-0.027468354430379746,0.04358474184575353,0.1717853137784739
Sports,30d,720.0,all,15,17.5,15-20,56,6,0.10714285714285714,0.16928571428571426,-0.062142857142857125,0.050038674581190865,0.21468686751661398
Sports,30d,720.0,all,20,22.5,20-25,46,9,0.1956521739130435,0.22043478260869567,-0.024782608695652186,0.10650490444121799,0.331715377411692
Sports,30d,720.0,all,25,27.5,25-30,33,3,0.09090909090909091,0.26545454545454544,-0.17454545454545453,0.03140337104926305,0.23572943534351032
Sports,30d,720.0,all,30,32.5,30-35,27,13,0.48148148148148145,0.3192592592592593,0.16222222222222216,0.3074295064970908,0.6601467541378958
Sports,30d,720.0,all,35,37.5,35-40,22,8,0.36363636363636365,0.37272727272727274,-0.009090909090909094,0.19732972772607899,0.5704865065628195
Sports,30d,720.0,all,40,42.5,40-45,29,12,0.41379310344827586,0.41793103448275865,-0.004137931034482789,0.2551293527964552,0.5926247152148476
Sports,30d,720.0,all,45,47.5,45-50,22,6,0.2727272727272727,0.4718181818181818,-0.1990909090909091,0.1315058201581444,0.4815212369900198
Sports,30d,720.0,all,50,52.5,50-55,23,15,0.6521739130434783,0.5182608695652174,0.13391304347826083,0.4488997690689164,0.8118894536301776
Sports,30d,720.0,all,55,57.5,55-60,20,11,0.55,0.5625,-0.012499999999999956,0.3420820083075997,0.7418049791429071
Sports,30d,720.0,all,60,62.5,60-65,24,15,0.625,0.6191666666666666,0.005833333333333357,0.42709619037907065,0.7884086656636855
Sports,30d,720.0,all,65,67.5,65-70,14,7,0.5,0.665,-0.16500000000000004,0.2679886791947528,0.7320113208052472
Sports,30d,720.0,all,70,72.5,70-75,18,16,0.8888888888888888,0.7188888888888889,0.16999999999999993,0.6719975513339578,0.9689811315464172
Sports,30d,720.0,all,75,77.5,75-80,29,27,0.9310344827586207,0.7810344827586206,0.15000000000000002,0.7803505240414808,0.9808791359020055
Sports,30d,720.0,all,80,82.5,80-85,22,19,0.8636363636363636,0.8172727272727274,0.046363636363636274,0.6666458812053,0.9525108273576373
Sports,30d,720.0,all,85,87.5,85-90,22,21,0.9545454545454546,0.8686363636363637,0.08590909090909093,0.7820151050048196,0.9919307806988522
Sports,30d,720.0,all,90,92.5,90-95,52,50,0.9615384615384616,0.9209615384615384,0.04057692307692318,0.8701857125563401,0.9893885116779224
Sports,30d,720.0,all,95,97.5,95-100,79,77,0.9746835443037974,0.9737974683544305,0.0008860759493669601,0.9123124646752687,0.993029778835238
Sports,30d,720.0,<=1h,0,2.5,0-5,8,0,0.0,0.025,-0.025,0.0,0.3244156195108769
Sports,30d,720.0,<=1h,5,7.5,5-10,13,1,0.07692307692307693,0.06153846153846154,0.015384615384615385,0.013710066379696323,0.3331453392824736
Sports,30d,720.0,<=1h,10,12.5,10-15,13,0,0.0,0.11153846153846153,-0.11153846153846153,0.0,0.22810184305529166
Sports,30d,720.0,<=1h,15,17.5,15-20,10,0,0.0,0.174,-0.174,0.0,0.2775401687666166
Sports,30d,720.0,<=1h,20,22.5,20-25,10,3,0.3,0.226,0.07399999999999998,0.10778928748621183,0.6032267800204347
Sports,30d,720.0,<=1h,25,27.5,25-30,7,1,0.14285714285714285,0.2614285714285714,-0.11857142857142855,0.02567895594897479,0.51313450331903
Sports,30d,720.0,<=1h,30,32.5,30-35,10,6,0.6,0.316,0.284,0.3126695474501864,0.8318224187964902
Sports,30d,720.0,<=1h,35,37.5,35-40,1,0,0.0,0.38,-0.38,0.0,0.7934567085261071
Sports,30d,720.0,<=1h,40,42.5,40-45,3,0,0.0,0.4066666666666666,-0.4066666666666666,0.0,0.5615060804490177
Sports,30d,720.0,<=1h,45,47.5,45-50,2,2,1.0,0.485,0.515,0.34237195288961925,1.0
Sports,30d,720.0,<=1h,50,52.5,50-55,1,0,0.0,0.53,-0.53,0.0,0.7934567085261071
Sports,30d,720.0,<=1h,55,57.5,55-60,4,1,0.25,0.5575,-0.3075,0.045586062644636216,0.6993639475573634
Sports,30d,720.0,<=1h,60,62.5,60-65,1,1,1.0,0.63,0.37,0.20654329147389294,1.0
Sports,30d,720.0,<=1h,65,67.5,65-70,2,2,1.0,0.67,0.32999999999999996,0.34237195288961925,1.0
Sports,30d,720.0,<=1h,70,72.5,70-75,1,1,1.0,0.7,0.30000000000000004,0.20654329147389294,1.0
Sports,30d,720.0,<=1h,75,77.5,75-80,2,2,1.0,0.77,0.22999999999999998,0.34237195288961925,1.0
Sports,30d,720.0,<=1h,80,82.5,80-85,2,1,0.5,0.81,-0.31000000000000005,0.09452865480086614,0.9054713451991339
Sports,30d,720.0,<=1h,90,92.5,90-95,4,3,0.75,0.93,-0.18000000000000005,0.3006360524426366,0.9544139373553637
Sports,30d,720.0,<=6h,0,2.5,0-5,50,0,0.0,0.021400000000000002,-0.021400000000000002,0.0,0.07135003417431873
Sports,30d,720.0,<=6h,5,7.5,5-10,34,2,0.058823529411764705,0.06382352941176471,-0.0050000000000000044,0.016282313063842452,0.1909393688946371
Sports,30d,720.0,<=6h,10,12.5,10-15,24,1,0.041666666666666664,0.11625,-0.07458333333333333,0.007393265354805126,0.20242226248842232
Sports,30d,720.0,<=6h,15,17.5,15-20,21,2,0.09523809523809523,0.17047619047619048,-0.07523809523809524,0.026518208796947246,0.2891458386074067
Sports,30d,720.0,<=6h,20,22.5,20-25,21,5,0.23809523809523808,0.21857142857142858,0.0195238095238095,0.10627856389112261,0.45091581972345923
Sports,30d,720.0,<=6h,25,27.5,25-30,12,2,0.16666666666666666,0.2625,-0.09583333333333335,0.04696414761482223,0.44803635738467273
Sports,30d,720.0,<=6h,30,32.5,30-35,10,6,0.6,0.316,0.284,0.3126695474501864,0.8318224187964902
Sports,30d,720.0,<=6h,35,37.5,35-40,9,6,0.6666666666666666,0.38,0.2866666666666666,0.35419734749908977,0.879418401317257
Sports,30d,720.0,<=6h,40,42.5,40-45,9,3,0.3333333333333333,0.4177777777777778,-0.08444444444444449,0.12058159868274293,0.6458026525009102
Sports,30d,720.0,<=6h,45,47.5,45-50,4,2,0.5,0.47,0.030000000000000027,0.15003570882017148,0.8499642911798285
Sports,30d,720.0,<=6h,50,52.5,50-55,2,1,0.5,0.515,-0.015000000000000013,0.09452865480086614,0.9054713451991339
Sports,30d,720.0,<=6h,55,57.5,55-60,7,3,0.42857142857142855,0.56,-0.1314285714285715,0.15821692226262685,0.7495457695909742
Sports,30d,720.0,<=6h,60,62.5,60-65,2,2,1.0,0.625,0.375,0.34237195288961925,1.0
Sports,30d,720.0,<=6h,65,67.5,65-70,5,3,0.6,0.66,-0.06000000000000005,0.23071993220883708,0.8823817688407467
Sports,30d,720.0,<=6h,70,72.5,70-75,1,1,1.0,0.7,0.30000000000000004,0.20654329147389294,1.0
Sports,30d,720.0,<=6h,75,77.5,75-80,7,6,0.8571428571428571,0.7757142857142857,0.0814285714285714,0.48686549668097007,0.9743210440510253
Sports,30d,720.0,<=6h,80,82.5,80-85,2,1,0.5,0.81,-0.31000000000000005,0.09452865480086614,0.9054713451991339
Sports,30d,720.0,<=6h,85,87.5,85-90,3,2,0.6666666666666666,0.88,-0.21333333333333337,0.2076549551264879,0.9385096847238394
Sports,30d,720.0,<=6h,90,92.5,90-95,12,10,0.8333333333333334,0.9283333333333332,-0.09499999999999986,0.5519636426153274,0.9530358523851776
Sports,30d,720.0,<=6h,95,97.5,95-100,9,9,1.0,0.9677777777777777,0.03222222222222226,0.7008472464490407,1.0
Sports,30d,720.0,<=24h,0,2.5,0-5,83,0,0.0,0.020843373493975904,-0.020843373493975904,3.469446951953614e-18,0.04423686343872062
Sports,30d,720.0,<=24h,5,7.5,5-10,51,2,0.0392156862745098,0.06529411764705882,-0.02607843137254902,0.010820856268751206,0.13216548986265267
Sports,30d,720.0,<=24h,10,12.5,10-15,37,2,0.05405405405405406,0.11756756756756756,-0.0635135135135135,0.01495066277053994,0.1770496506353991
Sports,30d,720.0,<=24h,15,17.5,15-20,33,2,0.06060606060606061,0.16969696969696968,-0.10909090909090907,0.016780530429070947,0.19606581717798194
Sports,30d,720.0,<=24h,20,22.5,20-25,26,5,0.19230769230769232,0.2176923076923077,-0.025384615384615394,0.08506935771788268,0.3787663615465
Sports,30d,720.0,<=24h,25,27.5,25-30,18,2,0.1111111111111111,0.265,-0.1538888888888889,0.031018868453582787,0.3280024486660421
Sports,30d,720.0,<=24h,30,32.5,30-35,18,11,0.6111111111111112,0.3188888888888889,0.29222222222222227,0.3861866858065617,0.7969500807306884
Sports,30d,720.0,<=24h,35,37.5,35-40,14,7,0.5,0.375,0.125,0.2679886791947528,0.7320113208052472
Sports,30d,720.0,<=24h,40,42.5,40-45,12,6,0.5,0.41916666666666663,0.08083333333333337,0.2537781703934222,0.7462218296065778
Sports,30d,720.0,<=24h,45,47.5,45-50,9,4,0.4444444444444444,0.4733333333333334,-0.028888888888888964,0.188775429471914,0.7333526542559703
Sports,30d,720.0,<=24h,50,52.5,50-55,8,6,0.75,0.52,0.22999999999999998,0.40926987910258916,0.9285223111419724
Sports,30d,720.0,<=24h,55,57.5,55-60,10,5,0.5,0.562,-0.062000000000000055,0.23658959361548731,0.7634104063845126
Sports,30d,720.0,<=24h,60,62.5,60-65,8,4,0.5,0.61875,-0.11875000000000002,0.21521252682444186,0.7847874731755582
Sports,30d,720.0,<=24h,65,67.5,65-70,8,3,0.375,0.6675,-0.2925,0.13684175946152105,0.6942621454161981
Sports,30d,720.0,<=24h,70,72.5,70-75,5,5,1.0,0.72,0.28,0.5655085052479191,1.0
Sports,30d,720.0,<=24h,75,77.5,75-80,10,9,0.9,0.778,0.122,0.5958436145024278,0.9821242504842788
Sports,30d,720.0,<=24h,80,82.5,80-85,5,4,0.8,0.816,-0.015999999999999903,0.3755282641185388,0.9637768390302125
Sports,30d,720.0,<=24h,85,87.5,85-90,8,7,0.875,0.8675,0.007499999999999951,0.5291051942301386,0.9775830911367038
Sports,30d,720.0,<=24h,90,92.5,90-95,18,16,0.8888888888888888,0.925,-0.036111111111111205,0.6719975513339578,0.9689811315464172
Sports,30d,720.0,<=24h,95,97.5,95-100,24,23,0.9583333333333334,0.9708333333333333,-0.012499999999999956,0.7975777375115778,0.992606734645195
Sports,7d,168.0,all,0,2.5,0-5,1590,4,0.0025157232704402514,0.015289308176100629,-0.012773584905660378,0.0009787213510989157,0.006450875165894994
Sports,7d,168.0,all,5,7.5,5-10,387,5,0.012919896640826873,0.06808785529715762,-0.05516795865633075,0.00553081137037292,0.02988404723219139
Sports,7d,168.0,all,10,12.5,10-15,206,16,0.07766990291262135,0.11898058252427184,-0.04131067961165048,0.048371132592826445,0.12243198747488176
