category_group,category_mid,liquidity_quintile,liquidity_quintile_label,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,median_volume_contracts,median_open_interest_contracts
Crypto,Bitcoin,1,Q1 Lowest,7679,20,0.053111082172157854,-0.033866388852715174,-0.04001834488381573,0.032796564680622725,140.0,124.0
Crypto,Bitcoin,2,Q2 Low-Mid,8207,20,0.05536615084683806,-0.037383940538564656,-0.040895643363728466,0.02463483146067414,329.0,287.0
Crypto,Bitcoin,3,Q3 Mid,12661,20,0.05355343179843612,-0.03385198641497514,-0.039316040955631404,0.024885993485341956,900.0,723.0
Crypto,Bitcoin,4,Q4 Mid-High,23578,20,0.04275680719314617,-0.027581643905335455,-0.0350435979807251,0.017557574206755435,2832.0,2029.5
Crypto,Bitcoin,5,Q5 Highest,24705,20,0.023151993523578225,-0.008637522768670306,-0.01832355665328805,0.012850691775557274,13465.0,7152.0
Crypto,Ethereum,1,Q1 Lowest,5001,20,0.07002399520095981,-0.04332133573285344,-0.047726347914547294,0.02125305126118786,146.0,120.0
Crypto,Ethereum,2,Q2 Low-Mid,6117,20,0.07548471472944251,-0.042945888507438315,-0.043981275078020514,0.028243488794669848,330.0,274.0
Crypto,Ethereum,3,Q3 Mid,8767,20,0.07284589939546025,-0.03843504049275691,-0.05018318068276437,0.0298870512303349,855.0,669.0
Crypto,Ethereum,4,Q4 Mid-High,9357,20,0.06534893662498667,-0.028106230629475242,-0.04160232147363109,0.03171449067431858,2556.0,1825.0
Crypto,Ethereum,5,Q5 Highest,4442,20,0.05511031067086896,-0.014308869878433165,-0.03514761137949544,0.030308517773306436,9923.0,5799.5
Crypto,Other Crypto,1,Q1 Lowest,1366,20,0.06453879941434847,-0.03506588579795022,-0.034626168224299064,-0.014254545454545454,141.0,123.0
Crypto,Other Crypto,2,Q2 Low-Mid,1581,20,0.07774193548387097,-0.01961416824794433,0.014737903225806459,0.00400000000000001,337.0,294.0
Crypto,Other Crypto,3,Q3 Mid,1592,20,0.06951005025125628,-0.030690954773869343,-0.022404181184668987,0.004657534246575346,847.0,655.5
Crypto,Other Crypto,4,Q4 Mid-High,1034,20,0.07551257253384913,-0.0045647969052224294,0.0015999999999999988,0.030405904059040603,2069.5,1500.0
Entertainment,Movies,5,Q5 Highest,1024,12,0.017011718749999984,0.0014257812499999818,-0.013781818181818183,0.015150214592274641,30074.5,12033.0
Finance,Forex,1,Q1 Lowest,1780,20,0.07078089887640451,-0.033275280898876415,-0.04644569816643159,0.018344594594594595,138.0,110.0
Finance,Forex,2,Q2 Low-Mid,1634,20,0.05367809057527539,-0.032466340269277846,-0.0367125382262997,0.007625899280575488,324.0,243.5
Finance,Forex,3,Q3 Mid,1326,20,0.06684766214177978,-0.038446455505279045,-0.04044169611307421,-0.024578754578754643,821.0,537.5
Finance,NASDAQ,1,Q1 Lowest,3596,20,0.07229977753058954,-0.006838153503893215,-0.03948005698005698,0.0434560143626571,135.0,111.0
Finance,NASDAQ,2,Q2 Low-Mid,3595,20,0.06810848400556328,-0.0056717663421418695,-0.03553398058252428,0.04197952218430032,323.0,254.0
Finance,NASDAQ,3,Q3 Mid,4935,20,0.05618844984802431,-0.00043971631205675017,-0.03140114167099118,0.040444038929440346,857.0,600.0
Finance,NASDAQ,4,Q4 Mid-High,6228,20,0.04281470777135517,-0.007178869621066152,-0.02618553357119689,0.030545073375262057,2660.0,1740.5
Finance,NASDAQ,5,Q5 Highest,6890,20,0.020393323657474614,-0.008024673439767765,-0.014363936747698843,0.011748971193415683,14898.5,7467.0
Finance,S&P 500,1,Q1 Lowest,2310,20,0.04693939393939393,-0.0025497835497835606,-0.028663446054750397,0.03410958904109585,133.0,116.0
