platform,close_month,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,month_start
polymarket,2020-11,3,3,0.2811106354102012,-0.2811106354102012,-0.04433711107804882,,2020-11-01
polymarket,2020-12,2,2,0.007354158485316186,-0.006144824776601953,-0.013498983261918139,0.001209333708714233,2020-12-01
polymarket,2021-01,14,5,0.09557591050085965,-0.07766115604028698,-0.00456027674915427,0.025080656244801734,2021-01-01
polymarket,2021-02,27,11,0.17591681446941643,-0.018249247091961327,-0.028488288588515254,0.007087059291468689,2021-02-01
polymarket,2021-03,28,8,0.08936632057545776,0.009069421992145773,-0.018543337143938632,0.014935706062345011,2021-03-01
polymarket,2021-04,63,18,0.14636726730829652,-0.016456461812825174,-0.02117177581428942,-0.07334869766340975,2021-04-01
polymarket,2021-05,86,17,0.11858949081467964,-0.029674716995132046,-0.009659599493636763,0.01544923937601831,2021-05-01
polymarket,2021-06,138,18,0.07640958260843733,-0.059173101244807194,-0.03451416878499884,0.009724447611387821,2021-06-01
kalshi,2021-07,50,10,0.06960000000000002,0.02440000000000003,-0.013999999999999999,0.025882352941176547,2021-07-01
polymarket,2021-07,82,16,0.08305551005251872,0.01895213905036498,-0.0058275366766454605,-0.03869085066100924,2021-07-01
kalshi,2021-08,190,18,0.05805263157894736,-0.008052631578947379,-0.021212121212121213,0.014062499999999976,2021-08-01
polymarket,2021-08,56,13,0.09942781936691882,-0.0007921565108266233,-0.008792182314151934,0.014338015185909762,2021-08-01
kalshi,2021-09,211,19,0.04909952606635071,0.007393364928909947,-0.00043478260869565376,0.008144329896907207,2021-09-01
polymarket,2021-09,74,14,0.08721030747651863,-0.04580263276407689,-0.005923692489446924,0.0030933771366270513,2021-09-01
kalshi,2021-10,232,17,0.03853448275862071,-0.004655172413793086,-0.02158415841584159,0.012432432432432474,2021-10-01
polymarket,2021-10,88,15,0.10500361034102386,-0.013792814188408936,-0.011780623160465705,0.006933866802970812,2021-10-01
kalshi,2021-11,252,18,0.047341269841269816,-0.011388888888888914,-0.02431372549019608,0.005076923076923025,2021-11-01
polymarket,2021-11,170,19,0.05953072854534609,-0.0009067495107730593,0.023242531643029817,0.02126927574895987,2021-11-01
kalshi,2021-12,271,18,0.046014760147601454,0.004760147601475988,-0.011826086956521738,0.018615384615384565,2021-12-01
polymarket,2021-12,110,17,0.09282957097884297,0.031134107737780015,0.008972511704154081,-0.02907998989341464,2021-12-01
kalshi,2022-01,297,19,0.05074074074074077,0.0007744107744107916,-0.025916666666666664,0.016402877697841767,2022-01-01
polymarket,2022-01,109,15,0.06000104692335855,0.016790972098073585,-0.014195069758461853,0.011757914133846812,2022-01-01
kalshi,2022-02,345,19,0.03437681159420293,-0.0008115942028985225,-0.02319018404907975,0.008266666666666726,2022-02-01
polymarket,2022-02,139,16,0.043740587094652846,-0.00436943417017218,-0.01804714671177806,0.0177329749852173,2022-02-01
kalshi,2022-03,361,19,0.044155124653739594,-0.026371191135734082,-0.017377049180327866,0.009361702127659556,2022-03-01
polymarket,2022-03,137,16,0.06253991252221666,-0.011528165722188814,-0.006910662743664651,0.015571175592698867,2022-03-01
kalshi,2022-04,453,20,0.043156732891832236,-0.01834437086092714,-0.01181434599156118,0.010915032679738588,2022-04-01
polymarket,2022-04,121,18,0.060082376108563484,0.04276756801503785,0.005013439584578906,0.022254622440076033,2022-04-01
kalshi,2022-05,913,20,0.026998904709748077,-0.014096385542168684,-0.018710166919575114,0.022962962962962925,2022-05-01
polymarket,2022-05,183,19,0.06162226044640949,-0.016562911287549723,-0.014871019970668278,0.013704637780114149,2022-05-01
kalshi,2022-06,968,20,0.026219008264462825,-0.014772727272727262,-0.014654939106901218,-0.007365269461077777,2022-06-01
polymarket,2022-06,134,19,0.06280046131627258,-0.012685595964992608,-0.006320374072046377,-0.013942496519610029,2022-06-01
kalshi,2022-07,1120,20,0.021767857142857127,-0.0023928571428571592,-0.013606356968215157,0.025708333333333264,2022-07-01
polymarket,2022-07,101,16,0.11034732860369348,0.017273697521742275,0.035908460106743166,0.012097096446241557,2022-07-01
kalshi,2022-08,1354,20,0.02790251107828657,-0.015612998522895117,-0.0147675568743818,8.032128514061939e-05,2022-08-01
polymarket,2022-08,77,16,0.12150944237443484,-0.05760996319688742,-0.022511348521695555,-0.011450444262785542,2022-08-01
kalshi,2022-09,1390,20,0.030949640287769777,-0.01787050359712231,-0.02005025125628141,0.010995670995670956,2022-09-01
polymarket,2022-09,81,17,0.13234623323340813,-0.0028957597162289415,-0.0192491439299359,0.014038024356697654,2022-09-01
kalshi,2022-10,1356,20,0.031755162241887916,-0.02315634218289087,-0.019617321248741187,-0.041925133689839654,2022-10-01
polymarket,2022-10,101,19,0.12341186222507781,0.02713771215557327,-0.03272535678636799,-0.027026891821687386,2022-10-01
kalshi,2022-11,1229,20,0.03413344182262002,-0.024759967453214002,-0.024359861591695498,-0.006327683615819231,2022-11-01
polymarket,2022-11,138,20,0.09459877339748504,-0.007913222069701045,-0.03600696163919646,-0.042801518587345704,2022-11-01
kalshi,2022-12,1223,20,0.033246116107931316,-0.02039247751430907,-0.02053511705685619,0.0027325581395349005,2022-12-01
polymarket,2022-12,177,17,0.0502464302039207,-0.01656153838560122,-0.004481806881607345,0.012046530321388672,2022-12-01
kalshi,2023-01,1052,20,0.03554182509505705,-0.010655893536121666,-0.022328589909443725,0.0010457516339869872,2023-01-01
polymarket,2023-01,67,17,0.09884553745173828,-0.01679233500909076,-0.015894155447644474,0.009360080774117013,2023-01-01
kalshi,2023-02,1147,20,0.03533565823888404,-0.01533565823888404,-0.0221571072319202,0.017784431137724564,2023-02-01
polymarket,2023-02,48,12,0.08981713341062998,-0.011737973892628527,-0.03802499525967837,0.012355873838051043,2023-02-01
kalshi,2023-03,1534,20,0.03712516297262061,-0.015325945241199474,-0.02593659942363112,0.025582329317269108,2023-03-01
polymarket,2023-03,95,20,0.10281966377366068,-0.0257430844268129,-0.040399590430516906,-0.010749029882083478,2023-03-01
kalshi,2023-04,1186,20,0.038145025295109616,-0.028397976391231015,-0.021080402010050247,0.009447236180904607,2023-04-01
polymarket,2023-04,127,20,0.138989248453026,-0.0037364345973478746,0.0790857090423626,-0.0513281944887328,2023-04-01
kalshi,2023-05,1443,20,0.04423423423423424,-0.02793485793485794,-0.025556768558951965,0.012171717171717134,2023-05-01
polymarket,2023-05,81,19,0.11535371873915835,0.06190166823233575,0.020178532112609053,0.0456386471556028,2023-05-01
kalshi,2023-06,1665,20,0.04336936936936936,-0.015489489489489503,-0.016271844660194174,0.026530612244897857,2023-06-01
polymarket,2023-06,95,17,0.12954896477499545,-0.0584428877392921,-0.015473115888380825,-0.02333631876363098,2023-06-01
kalshi,2023-07,1682,20,0.04460166468489892,-0.030214030915576704,-0.029289501590668083,0.009376947040498415,2023-07-01
polymarket,2023-07,100,13,0.05123757817779186,-0.020282930673993206,-0.018962527562335626,0.03017056605803962,2023-07-01
kalshi,2023-08,1753,20,0.02855675984027381,-0.023685111237877938,-0.020620884289746,0.00899721448467961,2023-08-01
polymarket,2023-08,94,19,0.1334232109152212,-0.035576398902720914,-0.02457724066193297,-0.15819642868898035,2023-08-01
