platform,price_bucket_5c_floor,price_bucket_5c_mid,price_bucket_5c_label,market_count,wins,empirical_win_rate,avg_implied_probability,calibration_gap,ci_lower,ci_upper
kalshi,0,2.5,0-5,260474,1677.0,0.006438262552116526,0.015552262413906955,-0.009113999861790428,0.006138304130761639,0.006752779346336709
kalshi,5,7.5,5-10,71184,2228.0,0.03129916835243875,0.06730037648909867,-0.036001208136659926,0.030045082263225505,0.03260384063936183
kalshi,10,12.5,10-15,30501,1783.0,0.058457099767220744,0.11794826399134455,-0.0594911642241238,0.05587936337848916,0.06114604677804153
kalshi,15,17.5,15-20,19535,1776.0,0.09091374456104429,0.16803378551318146,-0.07712004095213718,0.08696227027340124,0.09502608260827626
kalshi,20,22.5,20-25,13961,1834.0,0.13136594799799442,0.21795215242461144,-0.08658620442661702,0.1258637314435242,0.13707098025417241
kalshi,25,27.5,25-30,10339,1810.0,0.1750652867782184,0.268855788761002,-0.09379050198278363,0.16786102197260816,0.18251092996756269
kalshi,30,32.5,30-35,7718,1653.0,0.2141746566467997,0.31729852293340244,-0.10312386628660275,0.20516529450755044,0.22346841380368976
kalshi,35,37.5,35-40,6309,1618.0,0.2564590267871295,0.36870343953082896,-0.11224441274369945,0.24583399463520367,0.26738046650381814
kalshi,40,42.5,40-45,5104,1548.0,0.30329153605015674,0.41847374608150467,-0.11518221003134793,0.29083215503518384,0.3160468053460464
kalshi,45,47.5,45-50,4617,1690.0,0.3660385531730561,0.46921594108728615,-0.10317738791423003,0.352259857192361,0.3800399905236915
kalshi,50,52.5,50-55,3997,1780.0,0.4453340005003753,0.5156392294220665,-0.07030522892169122,0.42998574977344256,0.4607872315912785
kalshi,55,57.5,55-60,2631,1325.0,0.5036107943747624,0.5691866210566324,-0.06557582668187001,0.4845141415039174,0.5226969181666146
kalshi,60,62.5,60-65,2376,1433.0,0.6031144781144782,0.6183122895622896,-0.015197811447811405,0.58329044503588,0.622605611239462
kalshi,65,67.5,65-70,2305,1569.0,0.6806941431670283,0.669770065075922,0.010924078091106293,0.6613742717939177,0.6994127133331696
kalshi,70,72.5,70-75,2345,1846.0,0.7872068230277186,0.7184818763326226,0.06872494669509599,0.7701783474092758,0.8032958281162259
kalshi,75,77.5,75-80,2901,2379.0,0.8200620475698035,0.7694139951740779,0.05064805239572556,0.8056629011660428,0.8336146415405887
kalshi,80,82.5,80-85,3550,3184.0,0.8969014084507042,0.8187887323943661,0.07811267605633809,0.8864653378079841,0.9064794012034563
kalshi,85,87.5,85-90,5066,4708.0,0.9293328069482827,0.8708211606790367,0.05851164626924599,0.9219456967968028,0.9360692755052903
kalshi,90,92.5,90-95,10610,10237.0,0.9648444863336475,0.9226324222431669,0.04221206409048062,0.9611683551146741,0.9681841236334541
kalshi,95,97.5,95-100,88497,87805.0,0.9921805258935331,0.9833448591477678,0.008835666745765303,0.9915784498365166,0.992739873301328
polymarket,0,2.5,0-5,107226,452.0,0.004215395519743346,0.005791050378251689,-0.0015756548585083435,0.0038449577396680685,0.004621357107522753
polymarket,5,7.5,5-10,5713,371.0,0.06493961141256782,0.06783431568370225,-0.0028947042711344323,0.058837456591988004,0.07162646950314816
polymarket,10,12.5,10-15,4561,439.0,0.09625082218811665,0.12004251101719408,-0.023791688829077437,0.08802788544101917,0.10515331935697428
polymarket,15,17.5,15-20,3923,614.0,0.15651287280142748,0.1709026890659085,-0.01438981626448102,0.14547948109531078,0.16821832632325173
polymarket,20,22.5,20-25,4562,934.0,0.20473476545374836,0.22069311274741374,-0.01595834729366538,0.19327620503020085,0.2166901853938559
polymarket,25,27.5,25-30,6083,1654.0,0.27190530987999345,0.27175507492911893,0.0001502349508745171,0.2608703731320091,0.28322816230548287
polymarket,30,32.5,30-35,4871,1473.0,0.3024019708478752,0.3212726394188403,-0.018870668570965143,0.28966324920770803,0.3154521252077397
polymarket,35,37.5,35-40,4142,1485.0,0.3585224529212941,0.37165236895603515,-0.013129916034741063,0.34405478244096876,0.37325231390347446
polymarket,40,42.5,40-45,7009,2857.0,0.4076187758596091,0.4241941667585227,-0.016575390898913578,0.3961682391007507,0.41917052457530324
