category_group,market_count_kalshi,market_count_polymarket,bucket_count_kalshi,bucket_count_polymarket,expected_calibration_error_kalshi,expected_calibration_error_polymarket,ece_difference_polymarket_minus_kalshi,signed_calibration_gap_kalshi,signed_calibration_gap_polymarket,signed_gap_difference_polymarket_minus_kalshi,low_tail_gap_kalshi,low_tail_gap_polymarket,high_tail_gap_kalshi,high_tail_gap_polymarket
Crypto,116214,94298,20,20,0.04827679969711053,0.009709288187596308,-0.03856751150951422,-0.026930490302373194,-0.0024094218716022115,0.02452106843077098,-0.03412869043765652,-0.007361171071608771,0.020794846005382384,0.005451263040796132
Entertainment,10696,2900,20,20,0.018990276738967804,0.014671993902557624,-0.00431828283641018,-0.015061705310396446,-0.0064793416334115225,0.008582363676984924,-0.017422695887120986,0.00294781529331936,0.005984671776074524,-0.011341504410488142
Esports,7943,12628,20,20,0.05169835074908725,0.005903789292162105,-0.04579456145692514,-0.050582903185194504,-0.003909724632583343,0.04667317855261116,-0.02966624571531661,0.0008056140169042473,0.014890510948905039,-0.002103421005427057
Finance,63229,5993,20,20,0.03870138702177797,0.013885600956753707,-0.024815786065024263,-0.011301301617928488,-0.009374242319111242,0.0019270592988172453,-0.026028625353884872,-0.001502724862260717,0.02236624551552018,-0.003522515276953207
Media,7029,3533,20,20,0.02761986057760708,0.010788803339844487,-0.01683105723776259,-0.021613316261203563,-0.006495134331541971,0.015118181929661592,-0.023058739255014327,-0.0022080257224349146,0.008051401869158948,-0.00961431816772818
Other,9208,40671,20,20,0.02325260642919203,0.0104664694683687,-0.01278613696082333,-0.017073197219808833,-0.00880830436670573,0.008264892853103103,-0.019821806633733237,-0.0013375882339739114,0.008721479150275465,-0.025686707964569816
Politics,7024,11098,20,20,0.018327164009111586,0.014134712086913559,-0.004192451922198028,-0.007384681093394106,-0.01134358917666029,-0.003958908083266184,-0.014560466245750364,-0.0035967373150733025,0.01280294659300177,-0.013979778132159615
Science/Tech,426,1426,20,20,0.03807511737089202,0.016644888537142605,-0.021430228833749412,-0.012582159624413143,-0.00824400938855292,0.004338150235860223,-0.011324786324786323,-0.0019054748298344788,0.0156923076923077,-0.009692480661437648
Sports,301455,74137,20,20,0.022415650760478356,0.011100927734971842,-0.011314723025506514,-0.020980610704748628,-0.007377383163213517,0.013603227541535111,-0.013747319200593487,0.0035492895152326514,0.005751507457949941,-0.02253554006821221
Weather,30560,7848,20,20,0.01540804973821991,0.017520755841815297,0.0021127061035953864,-0.008508180628272237,-0.0031660734034847683,0.005342107224787469,-0.013598818758815233,0.008491023835845575,0.008730319959370327,-0.054135384455284236
World Events,236,2458,14,20,0.035635593220339004,0.019442331754266236,-0.016193261466072768,0.003262711864406798,-0.00827377996861019,-0.011536491833016988,-0.014675324675324675,-0.006868048484562804,0.02915492957746485,-0.006497356654200164
