category_group,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap
Crypto,94298,20,0.009709288187596308,-0.0024094218716022115,-0.007361171071608771,0.005451263040796132
Sports,74137,20,0.011100927734971842,-0.007377383163213517,0.0035492895152326514,-0.02253554006821221
Other,40671,20,0.0104664694683687,-0.00880830436670573,-0.0013375882339739114,-0.025686707964569816
Esports,12628,20,0.005903789292162105,-0.003909724632583343,0.0008056140169042473,-0.002103421005427057
Politics,11098,20,0.014134712086913559,-0.01134358917666029,-0.0035967373150733025,-0.013979778132159615
Weather,7848,20,0.017520755841815297,-0.0031660734034847683,0.008491023835845575,-0.054135384455284236
Finance,5993,20,0.013885600956753707,-0.009374242319111242,-0.001502724862260717,-0.003522515276953207
Media,3533,20,0.010788803339844487,-0.006495134331541971,-0.0022080257224349146,-0.00961431816772818
Entertainment,2900,20,0.014671993902557624,-0.0064793416334115225,0.00294781529331936,-0.011341504410488142
World Events,2458,20,0.019442331754266236,-0.00827377996861019,-0.006868048484562804,-0.006497356654200164
Science/Tech,1426,20,0.016644888537142605,-0.00824400938855292,-0.0019054748298344788,-0.009692480661437648
