platform,sample_scope,selected_market_count,source_trade_count,trade_size_bucket,taker_side,trade_count,contract_volume,mean_next_trade_move_cents,median_next_trade_move_cents,mean_abs_next_trade_move_cents
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,1,no,51413,51413.0,0.6521307840429463,0.0,0.8069554392857837
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,1,yes,169951,169951.0,-0.20590052426875982,0.0,0.2911721613876941
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,2-5,no,80610,288367.0,0.6882644833147252,1.0,0.8525865277260886
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,2-5,yes,323667,1205704.0,-0.20329845180386014,0.0,0.2752674817018726
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,6-10,no,76933,688143.0,0.6936295217916889,1.0,0.8375469564426189
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,6-10,yes,331238,3007154.0,-0.19465157983081652,0.0,0.25195176881879494
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,11-50,no,277942,8333160.0,0.667362255434587,0.0,0.7927553230530111
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,11-50,yes,1062444,32144287.0,-0.19489215431589807,0.0,0.25176479889763603
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,51-100,no,181948,15345466.0,0.6478719194495131,0.0,0.7736990788576956
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,51-100,yes,644564,56119593.0,-0.19404279481944384,0.0,0.2504002705704942
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,>100,no,527602,872434519.0,0.5719993479933738,0.0,0.6829921038964978
kalshi,top_100_kalshi_markets_by_facet1_liquidity,100,5090947,>100,yes,1362535,1646808314.0,-0.1841024267266529,0.0,0.2564557974657532
