platform,lifespan_bucket,horizon_label,horizon_hours,life_stage_index,life_stage_bucket,market_count,mean_abs_move_to_final_cents,median_abs_move_to_final_cents,p90_abs_move_to_final_cents,mean_signed_move_to_final_cents,median_staleness_age_hours
kalshi,1-6h,1h,1.0,0,0-10%,57925,0.030677600345274062,0.0,0.0,0.004333189469141131,3.4574999999999996
kalshi,1-6h,1h,1.0,1,10-20%,1577,0.5478757133798351,0.0,0.0,-0.24984147114774888,2.9227777777777777
kalshi,1-6h,1h,1.0,2,20-30%,1127,0.774622892635315,0.0,0.0,-0.006211180124223602,2.5922222222222224
kalshi,1-6h,1h,1.0,3,30-40%,829,1.8926417370325694,0.0,0.0,0.23522316043425814,1.9636111111111112
kalshi,1-6h,1h,1.0,4,40-50%,693,4.520923520923521,0.0,13.0,0.004329004329004329,1.2863888888888888
kalshi,1-6h,1h,1.0,5,50-60%,554,2.088447653429603,0.0,0.6999999999999886,0.4963898916967509,0.9263888888888889
kalshi,1-6h,1h,1.0,6,60-70%,565,8.049557522123894,0.0,34.0,-1.6955752212389381,0.4602777777777778
kalshi,1-6h,1h,1.0,7,70-80%,512,10.86328125,0.0,42.0,-0.81640625,0.1630555555555555
kalshi,1-6h,1h,1.0,8,80-90%,190,23.294736842105262,15.5,56.0,-0.12631578947368421,0.01805555555555549
kalshi,1-7d,3d,72.0,0,0-10%,9890,4.239635995955511,0.0,9.0,0.39575328614762384,30.835416666666667
kalshi,1-7d,3d,72.0,1,10-20%,2364,15.95389170896785,3.0,54.0,0.315989847715736,28.612222222222222
kalshi,1-7d,3d,72.0,2,20-30%,3019,17.632991056641274,4.0,53.0,-0.730043060616098,18.47638888888889
kalshi,1-7d,3d,72.0,3,30-40%,4492,18.587043633125557,7.0,54.0,1.339492430988424,9.151944444444439
kalshi,1-7d,3d,72.0,4,40-50%,4940,18.619433198380566,7.0,55.0,0.5995951417004048,5.20569444444444
kalshi,1-7d,3d,72.0,5,50-60%,3475,17.67453237410072,8.0,54.0,-0.13841726618705036,1.5875000000000057
kalshi,1-7d,1d,24.0,0,0-10%,46448,2.709416982431967,0.0,3.0,0.11292197726489839,13.528888888888886
kalshi,1-7d,1d,24.0,1,10-20%,5408,14.419933431952662,3.0,49.0,-0.9473002958579881,9.113055555555558
kalshi,1-7d,1d,24.0,2,20-30%,8840,17.26074660633484,6.0,52.0,-0.14694570135746607,4.7481944444444455
kalshi,1-7d,1d,24.0,3,30-40%,25824,23.938855328376704,17.0,61.0,-0.2861291821561338,0.849444444444444
kalshi,1-7d,1d,24.0,4,40-50%,7891,19.547712583956407,8.0,57.0,0.4206057533899379,3.2652777777777793
kalshi,1-7d,1d,24.0,5,50-60%,7065,20.20481245576787,9.0,56.0,0.1937721160651097,4.968611111111112
kalshi,1-7d,1d,24.0,6,60-70%,7991,22.247027906394695,13.0,57.0,0.4617694906770116,3.992222222222221
kalshi,1-7d,1d,24.0,7,70-80%,8096,20.51284584980237,10.0,56.0,0.9382411067193676,4.15861111111111
kalshi,1-7d,1d,24.0,8,80-90%,7248,21.69398454746137,12.0,57.0,-0.07836644591611479,1.0554166666666678
kalshi,1-7d,6h,6.0,0,0-10%,40492,0.5879432974414699,0.0,0.0,0.16232836115775956,32.46069444444444
kalshi,1-7d,6h,6.0,1,10-20%,2686,4.984363365599404,0.0,14.0,0.9679821295606851,26.568055555555556
kalshi,1-7d,6h,6.0,2,20-30%,3434,5.06697728596389,0.0,15.0,0.9289458357600466,22.001666666666665
kalshi,1-7d,6h,6.0,3,30-40%,5203,6.943878531616376,0.0,25.0,0.9308091485681338,17.82138888888889
kalshi,1-7d,6h,6.0,4,40-50%,4859,6.509569870343692,0.0,24.0,1.1047540646223504,17.52138888888889
kalshi,1-7d,6h,6.0,5,50-60%,6158,7.319421890224099,0.0,31.0,0.9277362780123417,10.780972222222223
kalshi,1-7d,6h,6.0,6,60-70%,14918,8.905349242525809,0.0,36.0,1.1179782812709478,6.233194444444445
kalshi,1-7d,6h,6.0,7,70-80%,43919,14.585486919101072,2.0,50.0,0.3721851590427833,1.1238888888888887
kalshi,1-7d,6h,6.0,8,80-90%,38285,12.795037220843673,1.0,47.0,0.6699751861042184,0.8666666666666663
kalshi,1-7d,6h,6.0,9,90-100%,26152,24.012236157846438,18.0,59.0,1.3960691342918323,0.43694444444444436
kalshi,1-7d,1h,1.0,0,0-10%,38891,0.09302923555578411,0.0,0.0,0.01928466740376951,37.772222222222226
kalshi,1-7d,1h,1.0,1,10-20%,2065,0.9108958837772397,0.0,0.0,0.16610169491525423,35.2725
kalshi,1-7d,1h,1.0,2,20-30%,2545,0.8408644400785854,0.0,0.0,0.10216110019646366,29.204722222222223
kalshi,1-7d,1h,1.0,3,30-40%,3629,1.1981262055662718,0.0,0.0,0.3306696059520529,24.243055555555557
kalshi,1-7d,1h,1.0,4,40-50%,3466,1.0323139065204847,0.0,0.0,0.14195037507212926,25.714861111111112
kalshi,1-7d,1h,1.0,5,50-60%,4206,0.8849262957679506,0.0,0.0,0.11840228245363767,16.303472222222226
kalshi,1-7d,1h,1.0,6,60-70%,8963,0.8821823050317974,0.0,0.0,0.1273011268548477,12.107222222222223
