platform,lifespan_bucket,life_stage_index,life_stage_bucket,volume_metric_name,market_count,trade_count,contract_volume,trade_count_share,contract_volume_share,cumulative_contract_volume_share
kalshi,1-6h,0,0-10%,kalshi_contract_count,126423,515340.0,94428861.0,0.0867926142574056,0.13639915699826372,0.13639915699826372
kalshi,1-6h,1,10-20%,kalshi_contract_count,71718,494790.0,52024785.0,0.08333162108204625,0.07514796580058204,0.21154712279884577
kalshi,1-6h,2,20-30%,kalshi_contract_count,67298,455012.0,45744392.0,0.07663228353803438,0.06607615976854915,0.27762328256739494
kalshi,1-6h,3,30-40%,kalshi_contract_count,65786,458224.0,44700124.0,0.07717324266597862,0.06456775149832482,0.34219103406571977
kalshi,1-6h,4,40-50%,kalshi_contract_count,64788,454290.0,44036816.0,0.0765106856269585,0.06360962650272411,0.4058006605684439
kalshi,1-6h,5,50-60%,kalshi_contract_count,68626,547243.0,55696980.0,0.09216565879626153,0.08045232187380884,0.48625298244225273
kalshi,1-6h,6,60-70%,kalshi_contract_count,68041,594214.0,63829865.0,0.10007642816072886,0.09219998721908738,0.5784529696613401
kalshi,1-6h,7,70-80%,kalshi_contract_count,68079,687674.0,74812557.0,0.11581678933684002,0.10806409819646723,0.6865170678578073
kalshi,1-6h,8,80-90%,kalshi_contract_count,64871,810350.0,90706517.0,0.13647765545753993,0.131022362464466,0.8175394303222733
kalshi,1-6h,9,90-100%,kalshi_contract_count,53457,920465.0,126317084.0,0.1550230210782063,0.18246056967772667,1.0
kalshi,1-7d,0,0-10%,kalshi_contract_count,90777,381818.0,60747086.0,0.014787983505630264,0.011456646809666212,0.011456646809666212
kalshi,1-7d,1,10-20%,kalshi_contract_count,50255,413459.0,38622672.0,0.01601345371945373,0.007284074695362088,0.0187407215050283
kalshi,1-7d,2,20-30%,kalshi_contract_count,53864,579532.0,51379526.0,0.022445535980453825,0.009689964101818188,0.028430685606846487
kalshi,1-7d,3,30-40%,kalshi_contract_count,57979,719485.0,69291511.0,0.02786597884999762,0.013068089692978874,0.04149877529982536
kalshi,1-7d,4,40-50%,kalshi_contract_count,44946,526418.0,65485404.0,0.020388406782987898,0.01235027380270229,0.05384904910252765
kalshi,1-7d,5,50-60%,kalshi_contract_count,57220,902866.0,102139772.0,0.034968407764417536,0.019263134581037095,0.07311218368356474
kalshi,1-7d,6,60-70%,kalshi_contract_count,78316,1774083.0,169671653.0,0.06871103547140013,0.031999365402206166,0.10511154908577092
kalshi,1-7d,7,70-80%,kalshi_contract_count,89346,2564459.0,312620628.0,0.09932265475400605,0.058958945296767776,0.16407049438253868
kalshi,1-7d,8,80-90%,kalshi_contract_count,94358,2335542.0,444012829.0,0.09045659600308713,0.08373896586272006,0.24780946024525874
kalshi,1-7d,9,90-100%,kalshi_contract_count,107325,15621815.0,3988373227.0,0.6050399471685658,0.7521905397547413,1.0
kalshi,30-180d,0,0-10%,kalshi_contract_count,6707,496428.0,155246796.0,0.05542648126564434,0.044223294517498374,0.044223294517498374
kalshi,30-180d,1,10-20%,kalshi_contract_count,6491,483050.0,225599425.0,0.05393281961406186,0.06426380493387629,0.10848709945137465
kalshi,30-180d,2,20-30%,kalshi_contract_count,6613,796470.0,423204755.0,0.08892634890386471,0.12055326746692241,0.22904036691829707
kalshi,30-180d,3,30-40%,kalshi_contract_count,6753,1050321.0,617105152.0,0.11726896393719297,0.17578735013095922,0.4048277170492563
kalshi,30-180d,4,40-50%,kalshi_contract_count,6990,312534.0,116016500.0,0.034894606863184366,0.033048230176610856,0.43787594722586715
kalshi,30-180d,5,50-60%,kalshi_contract_count,7274,304505.0,88294700.0,0.03399816424092725,0.02515145318963081,0.46302740041549795
kalshi,30-180d,6,60-70%,kalshi_contract_count,7267,377124.0,91270444.0,0.04210611875402849,0.02599911772578445,0.4890265181412824
kalshi,30-180d,7,70-80%,kalshi_contract_count,7480,479936.0,119377680.0,0.05358513966317025,0.03400568924756215,0.5230322073888446
