trade_count_bucket,open_interest_bucket,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,median_trade_count,min_trade_count,max_trade_count,median_open_interest_contracts,min_open_interest_contracts,max_open_interest_contracts,median_volume_contracts,platform
Q1 Thinnest,Q1 Thinnest,69731,20,0.029045331344739068,-0.027100715607118783,-0.020452582998362362,0.022739193783389934,1.0,1.0,1.0,135.0,61.0,200.0,135.0,kalshi
Q1 Thinnest,Q2 Thin,41073,20,0.02503225963528352,-0.02364546052151048,-0.016199921858564004,0.020616698292220174,1.0,1.0,1.0,253.0,200.0,338.0,253.0,kalshi
Q2 Thin,Q1 Thinnest,12257,20,0.042306437137961984,-0.03606021049196378,-0.02871914509331728,0.015934401220442405,2.0,2.0,2.0,127.0,0.0,200.0,138.0,kalshi
Q2 Thin,Q2 Thin,24133,20,0.023925330460365483,-0.02143413583060539,-0.015839953084181905,0.015849772382397646,1.0,1.0,2.0,370.0,200.0,455.0,370.0,kalshi
Q2 Thin,Q3 Mid,46732,20,0.01306299751776085,-0.012080801164084564,-0.008565405926282823,0.018183962264150966,1.0,1.0,1.0,666.0,455.0,1111.0,666.0,kalshi
Q2 Thin,Q4 Deep,23499,20,0.009918719945529597,-0.00912379250180859,-0.006430998370956482,0.02626984126984121,1.0,1.0,1.0,1798.0,1111.0,3796.0,1798.0,kalshi
Q2 Thin,Q5 Deepest,4183,20,0.017489839827874724,-0.011341142720535501,-0.0075984470327232385,0.008690476190476276,1.0,1.0,1.0,5524.0,3798.0,54518.0,5524.0,kalshi
Q3 Mid,Q1 Thinnest,22532,20,0.05271924374223328,-0.03742100124267709,-0.032915115413253905,0.011018735362997628,4.0,2.0,10.0,123.0,0.0,200.0,162.0,kalshi
Q3 Mid,Q2 Thin,32351,20,0.04305461964081481,-0.03261784797996971,-0.024342577871989634,0.015957665735704864,4.0,2.0,10.0,312.0,200.0,455.0,339.0,kalshi
Q3 Mid,Q3 Mid,31526,20,0.042016748080949046,-0.030949692317452277,-0.02790349871731893,0.01959239568229412,4.0,2.0,10.0,672.0,455.0,1111.0,713.0,kalshi
Q3 Mid,Q4 Deep,20087,20,0.03984168865435358,-0.02827400806491759,-0.02568805151442881,0.020660000000000053,5.0,2.0,9.0,1678.0,1111.0,3796.0,1750.0,kalshi
Q3 Mid,Q5 Deepest,4308,20,0.0363091922005571,-0.022325905292479117,-0.021454741379310346,0.02333333333333329,5.0,2.0,9.0,5669.5,3797.0,100758.0,5902.5,kalshi
Q4 Deep,Q1 Thinnest,6108,20,0.0491928618205632,-0.023479043876882787,-0.021028469750889685,-0.0019850948509485596,15.0,10.0,49.0,126.0,0.0,200.0,269.0,kalshi
Q4 Deep,Q2 Thin,12651,20,0.04311279740731958,-0.021546122836139433,-0.028124701004624462,0.02175182481751825,17.0,10.0,49.0,326.0,200.0,455.0,499.0,kalshi
Q4 Deep,Q3 Mid,28289,20,0.036327901304393916,-0.021581533458234665,-0.025082831325301203,0.014648777579010073,19.0,10.0,49.0,753.0,455.0,1111.0,1043.0,kalshi
Q4 Deep,Q4 Deep,44148,20,0.03590355168977079,-0.0232284588203316,-0.026321939092604104,0.014746826207500384,23.0,10.0,49.0,1955.0,1111.0,3796.0,2556.0,kalshi
Q4 Deep,Q5 Deepest,19608,20,0.03129793961648305,-0.019989290085679335,-0.02251742767514814,0.013100374398288407,28.0,10.0,48.0,6078.0,3796.0,604359.0,7610.0,kalshi
Q5 Deepest,Q1 Thinnest,176,20,0.131875,-0.0450568181818182,-0.01958904109589041,-0.05142857142857145,64.0,49.0,218.0,125.0,0.0,199.0,998.0,kalshi
Q5 Deepest,Q2 Thin,596,20,0.044177852348993275,-0.014278523489932901,-0.023435374149659866,0.02158192090395475,65.0,49.0,703.0,340.0,200.0,454.0,1281.0,kalshi
Q5 Deepest,Q3 Mid,4257,20,0.03365045806906272,-0.01006577401926239,-0.022394179894179893,0.022648275862068957,70.0,49.0,1084.0,826.0,455.0,1110.0,1936.0,kalshi
Q5 Deepest,Q4 Deep,23070,20,0.022519289120069345,-0.00891287386215866,-0.018315641586013114,0.015069108092144085,81.0,49.0,2037.0,2450.0,1111.0,3796.0,4518.0,kalshi
Q5 Deepest,Q5 Deepest,82705,20,0.015671120246659828,-0.005607399794450137,-0.013910406469461584,0.011912151017166634,218.0,49.0,287494.0,12954.0,3796.0,55939388.0,23946.0,kalshi
