platform,participation_depth_bucket,market_count,bucket_count,expected_calibration_error,signed_calibration_gap,low_tail_gap,high_tail_gap,participation_proxy_name,median_participation_proxy_value,min_participation_proxy_value,max_participation_proxy_value,median_trade_count,median_contract_or_usd_volume_proxy,median_polymarket_unique_wallet_count,median_polymarket_wallet_hhi,median_kalshi_open_interest_contracts
kalshi,Q1 Thinnest,110804,20,0.027432312912891235,-0.02581991624851089,-0.018826328310864397,0.02202055894635395,trade_count,1.0,1.0,1.0,1.0,173.0,,,173.0
kalshi,Q2 Thin,110804,20,0.01785314609580882,-0.016115483195552505,-0.010967587661137803,0.0169289273537897,trade_count,1.0,1.0,2.0,1.0,602.0,,,603.0
kalshi,Q3 Mid,110804,20,0.04289601458431104,-0.03193233096278114,-0.027049388546025958,0.01709368151935717,trade_count,4.0,2.0,10.0,4.0,518.0,,,462.0
kalshi,Q4 Deep,110804,20,0.035841034619688836,-0.022056514205263333,-0.025220236087689717,0.01438578117299166,trade_count,21.0,10.0,49.0,21.0,1960.0,,,1376.0
kalshi,Q5 Deepest,110804,20,0.017575809537561854,-0.006576206635139492,-0.01517401540753079,0.012865971687772655,trade_count,156.0,49.0,287494.0,156.0,15640.5,,,8361.0
polymarket,Q1 Thinnest,51398,20,0.018985767228652493,-0.013038337593977375,0.0056211588136540055,-0.04084038090504436,trade_count_filtered_facet1,8.0,1.0,20.0,8.0,611.5709999999999,,,
polymarket,Q2 Thin,51398,20,0.008206117777155943,-0.007620997503852352,-0.0026981759716134075,-0.004414837419800786,trade_count_filtered_facet1,45.0,20.0,93.0,45.0,3299.7029095,,,
polymarket,Q3 Mid,51398,20,0.006201209414241594,-0.004537361671491133,-0.0033741246144343893,0.0021157656692549595,trade_count_filtered_facet1,180.0,93.0,342.0,180.0,12161.5202995,,,
polymarket,Q4 Deep,51398,20,0.007197606163162291,-0.002760839953259371,-0.004465547171480393,0.004794102868719761,trade_count_filtered_facet1,663.0,342.0,1260.0,663.0,25252.4898245,,,
polymarket,Q5 Deepest,51398,20,0.006554795773172777,-0.000496953892439362,-0.0051991622882271325,0.005281477886556095,trade_count_filtered_facet1,2955.0,1260.0,4922536.0,2955.0,99934.865704,,,
